cause,covariate,hazard_ratio,hr_lower_95,hr_upper_95,z,p_value
default,ltv,1.412399115503232,1.3333245239696712,1.4961633312908966,11.7463124388347,7.376826411077629e-32
default,occupancy_type_Second_Home,1.1527906307713178,0.8862522112733076,1.4994898985750582,1.0598593788977637,0.2892085781566597
default,occupancy_type_Primary_Residence,1.1069141226972072,0.9345771700859123,1.3110301794702455,1.1763696460727529,0.2394471958366988
default,interest_rate,1.0745650070233244,1.014081717265855,1.1386557263178818,2.4330518896105366,0.014972155076389913
default,dti,1.0212273723257774,0.9651785181689876,1.080531037891185,0.7293417693002527,0.46579262794163123
default,property_type_PUD,1.0172970224182634,0.8355686102784066,1.238549676341054,0.17079804980638402,0.8643825625715251
default,property_type_Single_Family_Detached,1.0108356236078615,0.88046656331764,1.1605081902310361,0.15297721831127636,0.8784162409651199
default,original_term_months,1.0072968779919584,0.9582570643913919,1.0588463556559,0.2855101142523534,0.7752533566898241
default,loan_purpose_Home_Purchase,0.956403329171961,0.8362834567359737,1.0937766623069722,-0.6509584339710505,0.515073319146655
default,log_original_balance,0.9490450297291566,0.9025627058878926,0.9979212109895113,-2.041181593780273,0.041232780537058054
default,loan_purpose_Rate_Term_Refinance,0.9423410996788096,0.8064250878725763,1.1011645861446497,-0.7473102342081684,0.4548763162348892
default,credit_score,0.41476518656635325,0.3869814648053556,0.44454366845179466,-24.876807882619218,1.3263763982886407e-136
prepaid,credit_score,1.2336376935892752,1.157351590209756,1.3149521475737957,6.446952669090337,1.141214070229694e-10
prepaid,property_type_PUD,1.1645308708988154,0.9653663203757128,1.4047850237291866,1.5916449685190428,0.11146449994007206
prepaid,loan_purpose_Rate_Term_Refinance,1.0860907208926363,0.9322667598730279,1.2652956265111754,1.0598614847623757,0.28920761997442523
prepaid,occupancy_type_Second_Home,1.0351803125813097,0.8098728783127989,1.3231684974910993,0.2760887595569183,0.7824798938527348
prepaid,log_original_balance,1.0234867265081034,0.9746390532914806,1.0747825831528577,0.9304266205292533,0.35215024079904356
prepaid,property_type_Single_Family_Detached,1.0177927751656777,0.8894967203520259,1.1645935386580004,0.2565508633104837,0.797525510950607
prepaid,interest_rate,1.0165764213977326,0.9592233076057306,1.0773587467565895,0.5548784541335221,0.5789778000817716
prepaid,ltv,1.005530109166722,0.9518126487834037,1.0622792224217705,0.19687748450116271,0.8439234135968928
prepaid,original_term_months,0.9866113595719876,0.9397624125233824,1.0357958159049763,-0.5430418610895509,0.5871009807058452
prepaid,loan_purpose_Home_Purchase,0.9743935003510319,0.8501333753575837,1.1168161620839565,-0.37267872550307085,0.7093875721903389
prepaid,dti,0.9683808909735794,0.9174592366295252,1.0221288451439468,-1.1657964331546162,0.24369675968658894
prepaid,occupancy_type_Primary_Residence,0.8829062670658039,0.7559230304131689,1.0312206998085562,-1.5719175165687105,0.11596968162080942
