loan_id,reporting_month,conflict__current_balance,conflict__current_status,conflict__days_past_due,conflict__servicer_name,current_balance,current_balance__servicer,current_status,current_status__servicer,days_past_due,days_past_due__servicer,servicer_name,servicer_name__servicer
00AS0B0L7ZXZ,2023-05-01,True,False,False,False,366000.0,404100.3,Current,Current,0,0,Atlas Mortgage Services,Atlas Mortgage Services
00QUQ6CC3XP6,2023-02-01,True,False,False,False,360000.0,409374.23,Current,Current,0,0,Atlas Mortgage Services,Atlas Mortgage Services
00VQAED35X9M,2018-10-01,False,True,False,False,511505.89,511505.89,Current,30-DPD,0,0,Northgate Financial Servicing,Northgate Financial Servicing
00VQAED35X9M,2019-04-01,False,True,False,False,507550.92,507550.92,Current,60-DPD,0,0,Northgate Financial Servicing,Northgate Financial Servicing
00VQAED35X9M,2019-05-01,False,True,False,False,506882.35,506882.35,Current,60-DPD,0,0,Northgate Financial Servicing,Northgate Financial Servicing
00VQAED35X9M,2020-05-01,True,True,False,False,498644.39,520039.55,Current,60-DPD,0,0,Northgate Financial Servicing,Northgate Financial Servicing
01N5YE6DXOTM,2022-01-01,True,False,False,False,424848.6,477028.19,Current,Current,0,0,Beacon Home Loans,Beacon Home Loans
01VBP5L2G464,2019-06-01,True,False,False,False,409371.28,436357.28,Current,Current,0,0,Northgate Financial Servicing,Northgate Financial Servicing
01VBP5L2G464,2020-01-01,True,False,False,False,397805.41,429715.27,Current,Current,0,0,Northgate Financial Servicing,Northgate Financial Servicing
01WRA2JT2XXP,2018-03-01,False,True,False,False,334000.0,334000.0,Current,60-DPD,0,0,Cornerstone Loan Servicing,Cornerstone Loan Servicing
02E6VDTFGYQQ,2022-03-01,True,False,False,False,349346.67,405524.28,Current,Current,0,0,Atlas Mortgage Services,Atlas Mortgage Services
02E6VDTFGYQQ,2023-02-01,False,True,False,False,345627.44,345627.44,Current,30-DPD,0,0,Atlas Mortgage Services,Atlas Mortgage Services
02FUCNCSIY51,2022-10-01,False,True,False,False,496477.44,496477.44,Current,60-DPD,0,0,Meridian Residential Capital,Meridian Residential Capital
02JETCV63HB1,2023-09-01,True,False,False,False,365822.95,417274.25,Current,Current,0,0,Meridian Residential Capital,Meridian Residential Capital
02TGRY9XTVPI,2021-05-01,False,True,False,False,327711.4,327711.4,Current,30-DPD,0,0,Meridian Residential Capital,Meridian Residential Capital
