model,segment,kind,group,records,actual_positives,actual_negatives,flagged,false_positives,false_negatives,true_positives,selection_rate,precision,recall,false_positive_rate,false_negative_rate
delinquency,servicer_name,screen for disparity,Cornerstone Loan Servicing,13417.0,1451.0,11966.0,696.0,211.0,966.0,485.0,0.05187448759037042,0.6968390804597702,0.33425223983459684,0.01763329433394618,0.6657477601654032
delinquency,servicer_name,screen for disparity,Northgate Financial Servicing,12622.0,1273.0,11349.0,653.0,181.0,801.0,472.0,0.05173506575819997,0.7228177641653905,0.37077769049489395,0.015948541721737597,0.629222309505106
default,credit_score_band,risk factor (gap expected),<620,2158.0,775.0,1383.0,1321.0,756.0,210.0,565.0,0.6121408711770158,0.42770628311884934,0.7290322580645161,0.5466377440347071,0.2709677419354839
default,credit_score_band,risk factor (gap expected),620-659,6847.0,1980.0,4867.0,2814.0,1640.0,806.0,1174.0,0.4109829122243318,0.4171997157071784,0.592929292929293,0.33696322169714404,0.4070707070707071
default,credit_score_band,risk factor (gap expected),660-699,16786.0,1790.0,14996.0,1193.0,537.0,1134.0,656.0,0.07107113070415823,0.5498742665549036,0.3664804469273743,0.0358095492131235,0.6335195530726258
default,credit_score_band,risk factor (gap expected),700-739,18569.0,412.0,18157.0,228.0,121.0,305.0,107.0,0.012278528730680166,0.4692982456140351,0.25970873786407767,0.006664096491711186,0.7402912621359223
default,credit_score_band,risk factor (gap expected),740-799,12426.0,106.0,12320.0,84.0,43.0,65.0,41.0,0.006760019314340898,0.4880952380952381,0.3867924528301887,0.00349025974025974,0.6132075471698113
default,credit_score_band,risk factor (gap expected),800+,1596.0,0.0,1596.0,3.0,3.0,0.0,0.0,0.0018796992481203006,0.0,,0.0018796992481203006,
default,ltv_band,risk factor (gap expected),90-97%,2870.0,773.0,2097.0,936.0,511.0,348.0,425.0,0.32613240418118467,0.45405982905982906,0.5498059508408797,0.24368144969003339,0.4501940491591203
default,ltv_band,risk factor (gap expected),80-90%,12993.0,2021.0,10972.0,2574.0,1402.0,849.0,1172.0,0.1981066728238282,0.4553224553224553,0.5799109351806037,0.12777980313525336,0.42008906481939634
default,ltv_band,risk factor (gap expected),75-80%,11315.0,951.0,10364.0,813.0,418.0,556.0,395.0,0.07185152452496686,0.4858548585485855,0.4153522607781283,0.040331918178309535,0.5846477392218717
default,ltv_band,risk factor (gap expected),60-75%,26915.0,1281.0,25634.0,1260.0,726.0,747.0,534.0,0.04681404421326398,0.4238095238095238,0.4168618266978923,0.028321760162284465,0.5831381733021077
default,ltv_band,risk factor (gap expected),<60%,4289.0,37.0,4252.0,60.0,43.0,20.0,17.0,0.013989274889251575,0.2833333333333333,0.4594594594594595,0.01011288805268109,0.5405405405405406
default,vintage_year,risk factor (gap expected),2021,14160.0,1154.0,13006.0,1678.0,1050.0,526.0,628.0,0.11850282485875706,0.3742550655542312,0.5441941074523396,0.08073196986006459,0.4558058925476603
default,vintage_year,risk factor (gap expected),2022,17090.0,1537.0,15553.0,1754.0,1006.0,789.0,748.0,0.10263311878291398,0.4264538198403649,0.4866623292127521,0.06468205490902076,0.5133376707872479
default,vintage_year,risk factor (gap expected),2020,11469.0,793.0,10676.0,972.0,506.0,327.0,466.0,0.08475019618100968,0.4794238683127572,0.587641866330391,0.0473960284750843,0.4123581336696091
default,vintage_year,risk factor (gap expected),2023,9972.0,1001.0,8971.0,712.0,350.0,639.0,362.0,0.07139991977537104,0.5084269662921348,0.36163836163836166,0.03901460260840486,0.6383616383616384
default,vintage_year,risk factor (gap expected),2019,5459.0,482.0,4977.0,449.0,187.0,220.0,262.0,0.08224949624473346,0.5835189309576837,0.5435684647302904,0.037572835041189474,0.45643153526970953
default,vintage_year,risk factor (gap expected),2018,232.0,96.0,136.0,78.0,1.0,19.0,77.0,0.33620689655172414,0.9871794871794872,0.8020833333333334,0.007352941176470588,0.19791666666666666
default,state,screen for disparity,WI,1184.0,99.0,1085.0,206.0,132.0,25.0,74.0,0.17398648648648649,0.3592233009708738,0.7474747474747475,0.12165898617511521,0.25252525252525254
default,state,screen for disparity,CT,545.0,44.0,501.0,65.0,53.0,32.0,12.0,0.11926605504587157,0.18461538461538463,0.2727272727272727,0.10578842315369262,0.7272727272727273
default,state,screen for disparity,OH,2430.0,182.0,2248.0,285.0,195.0,92.0,90.0,0.11728395061728394,0.3157894736842105,0.4945054945054945,0.08674377224199288,0.5054945054945055
default,state,screen for disparity,KY,840.0,70.0,770.0,98.0,66.0,38.0,32.0,0.11666666666666667,0.32653061224489793,0.45714285714285713,0.08571428571428572,0.5428571428571428
default,state,screen for disparity,CA,7328.0,555.0,6773.0,906.0,577.0,226.0,329.0,0.1236353711790393,0.3631346578366446,0.5927927927927928,0.08519120035434814,0.4072072072072072
default,state,screen for disparity,AL,878.0,39.0,839.0,93.0,69.0,15.0,24.0,0.10592255125284739,0.25806451612903225,0.6153846153846154,0.08224076281287247,0.38461538461538464
default,state,screen for disparity,MA,1482.0,120.0,1362.0,192.0,103.0,31.0,89.0,0.12955465587044535,0.4635416666666667,0.7416666666666667,0.07562408223201175,0.25833333333333336
default,state,screen for disparity,MI,1938.0,211.0,1727.0,227.0,122.0,106.0,105.0,0.11713106295149639,0.46255506607929514,0.4976303317535545,0.07064273306311523,0.5023696682464455
default,state,screen for disparity,TX,5899.0,558.0,5341.0,609.0,359.0,308.0,250.0,0.10323783692151212,0.41050903119868637,0.44802867383512546,0.06721587717655869,0.5519713261648745
default,state,screen for disparity,TN,1326.0,110.0,1216.0,131.0,81.0,60.0,50.0,0.09879336349924585,0.3816793893129771,0.45454545454545453,0.06661184210526316,0.5454545454545454
default,state,screen for disparity,WA,1619.0,134.0,1485.0,171.0,98.0,61.0,73.0,0.10562075355157505,0.4269005847953216,0.5447761194029851,0.06599326599326599,0.4552238805970149
default,state,screen for disparity,OR,963.0,62.0,901.0,74.0,51.0,39.0,23.0,0.07684319833852545,0.3108108108108108,0.3709677419354839,0.05660377358490566,0.6290322580645161
default,state,screen for disparity,IL,2314.0,188.0,2126.0,237.0,120.0,71.0,117.0,0.1024200518582541,0.4936708860759494,0.6223404255319149,0.05644402634054563,0.3776595744680851
default,state,screen for disparity,GA,2169.0,205.0,1964.0,174.0,97.0,128.0,77.0,0.08022130013831259,0.4425287356321839,0.375609756097561,0.04938900203665988,0.624390243902439
default,state,screen for disparity,NY,3492.0,269.0,3223.0,280.0,157.0,146.0,123.0,0.08018327605956473,0.4392857142857143,0.45724907063197023,0.04871237977040025,0.5427509293680297
default,state,screen for disparity,PA,2433.0,303.0,2130.0,272.0,101.0,132.0,171.0,0.11179613645704892,0.6286764705882353,0.5643564356435643,0.047417840375586856,0.43564356435643564
default,state,screen for disparity,VA,1702.0,119.0,1583.0,153.0,74.0,40.0,79.0,0.0898942420681551,0.5163398692810458,0.6638655462184874,0.04674668351231838,0.33613445378151263
default,state,screen for disparity,FL,6019.0,524.0,5495.0,533.0,253.0,244.0,280.0,0.08855291576673865,0.525328330206379,0.5343511450381679,0.046041856232939035,0.46564885496183206
default,state,screen for disparity,MO,1342.0,108.0,1234.0,91.0,47.0,64.0,44.0,0.06780923994038748,0.4835164835164835,0.4074074074074074,0.03808752025931929,0.5925925925925926
default,state,screen for disparity,MN,1145.0,103.0,1042.0,83.0,39.0,59.0,44.0,0.07248908296943231,0.5301204819277109,0.42718446601941745,0.03742802303262956,0.5728155339805825
default,state,screen for disparity,LA,749.0,75.0,674.0,52.0,25.0,48.0,27.0,0.06942590120160214,0.5192307692307693,0.36,0.037091988130563795,0.64
default,state,screen for disparity,IN,1141.0,111.0,1030.0,104.0,38.0,45.0,66.0,0.09114811568799298,0.6346153846153846,0.5945945945945946,0.036893203883495145,0.40540540540540543
default,state,screen for disparity,CO,996.0,92.0,904.0,58.0,33.0,67.0,25.0,0.05823293172690763,0.43103448275862066,0.2717391304347826,0.03650442477876106,0.7282608695652174
default,state,screen for disparity,NC,2093.0,230.0,1863.0,168.0,63.0,125.0,105.0,0.0802675585284281,0.625,0.45652173913043476,0.033816425120772944,0.5434782608695652
default,state,screen for disparity,AZ,1468.0,150.0,1318.0,103.0,44.0,91.0,59.0,0.07016348773841961,0.5728155339805825,0.3933333333333333,0.03338391502276176,0.6066666666666667
default,state,screen for disparity,NJ,1618.0,166.0,1452.0,113.0,42.0,95.0,71.0,0.06983930778739184,0.6283185840707964,0.42771084337349397,0.028925619834710745,0.572289156626506
default,state,screen for disparity,MD,1180.0,92.0,1088.0,62.0,27.0,57.0,35.0,0.05254237288135593,0.5645161290322581,0.3804347826086957,0.024816176470588234,0.6195652173913043
default,state,screen for disparity,UT,533.0,18.0,515.0,20.0,12.0,10.0,8.0,0.0375234521575985,0.4,0.4444444444444444,0.02330097087378641,0.5555555555555556
default,state,screen for disparity,SC,791.0,63.0,728.0,41.0,14.0,36.0,27.0,0.051833122629582805,0.6585365853658537,0.42857142857142855,0.019230769230769232,0.5714285714285714
default,state,screen for disparity,OK,765.0,63.0,702.0,42.0,8.0,29.0,34.0,0.054901960784313725,0.8095238095238095,0.5396825396825397,0.011396011396011397,0.4603174603174603
default,servicer_name,screen for disparity,Atlas Mortgage Services,11970.0,1101.0,10869.0,1342.0,734.0,493.0,608.0,0.11211361737677528,0.45305514157973176,0.5522252497729337,0.06753151163860521,0.4477747502270663
default,servicer_name,screen for disparity,Beacon Home Loans,11561.0,934.0,10627.0,1145.0,673.0,462.0,472.0,0.09903987544330076,0.41222707423580784,0.5053533190578159,0.06332925566952104,0.49464668094218417
default,servicer_name,screen for disparity,Meridian Residential Capital,11395.0,1048.0,10347.0,1154.0,613.0,507.0,541.0,0.10127248793330408,0.46880415944540726,0.5162213740458015,0.059244225379337004,0.48377862595419846
default,servicer_name,screen for disparity,Cornerstone Loan Servicing,12162.0,1039.0,11123.0,1022.0,568.0,585.0,454.0,0.08403223154086499,0.44422700587084146,0.43695861405197306,0.05106536006473074,0.563041385948027
default,servicer_name,screen for disparity,Northgate Financial Servicing,11294.0,941.0,10353.0,980.0,512.0,473.0,468.0,0.08677173720559589,0.4775510204081633,0.4973432518597237,0.049454264464406456,0.5026567481402763
prepayment,credit_score_band,risk factor (gap expected),740-799,12426.0,1284.0,11142.0,10825.0,9678.0,137.0,1147.0,0.8711572509254788,0.10595842956120093,0.8933021806853583,0.8686052773290253,0.10669781931464174
prepayment,credit_score_band,risk factor (gap expected),700-739,18569.0,1855.0,16714.0,14273.0,12874.0,456.0,1399.0,0.7686466691798158,0.09801723533945211,0.754177897574124,0.7702524829484265,0.24582210242587602
prepayment,credit_score_band,risk factor (gap expected),800+,1596.0,186.0,1410.0,1183.0,1048.0,51.0,135.0,0.7412280701754386,0.11411665257819104,0.7258064516129032,0.7432624113475177,0.27419354838709675
prepayment,credit_score_band,risk factor (gap expected),660-699,16786.0,1371.0,15415.0,11895.0,10907.0,383.0,988.0,0.708626236149172,0.08306010928961749,0.7206418672501823,0.7075575737917613,0.27935813274981763
prepayment,credit_score_band,risk factor (gap expected),620-659,6847.0,473.0,6374.0,2928.0,2707.0,252.0,221.0,0.4276325397984519,0.07547814207650273,0.46723044397463004,0.42469406965798556,0.53276955602537
prepayment,credit_score_band,risk factor (gap expected),<620,2158.0,59.0,2099.0,591.0,557.0,25.0,34.0,0.2738646895273401,0.05752961082910321,0.576271186440678,0.2653644592663173,0.423728813559322
prepayment,ltv_band,risk factor (gap expected),<60%,4289.0,416.0,3873.0,3448.0,3091.0,59.0,357.0,0.8039169969689904,0.10353828306264501,0.8581730769230769,0.7980893364317067,0.14182692307692307
prepayment,ltv_band,risk factor (gap expected),60-75%,26915.0,2601.0,24314.0,20573.0,18558.0,586.0,2015.0,0.764369310793238,0.09794390706265493,0.7747020376778162,0.7632639631488032,0.22529796232218377
prepayment,ltv_band,risk factor (gap expected),75-80%,11315.0,1090.0,10225.0,7989.0,7159.0,260.0,830.0,0.7060539107379584,0.10389285267242458,0.7614678899082569,0.7001466992665036,0.23853211009174313
prepayment,ltv_band,risk factor (gap expected),80-90%,12993.0,976.0,12017.0,8432.0,7787.0,331.0,645.0,0.6489648272146541,0.0764943074003795,0.6608606557377049,0.6479986685528835,0.3391393442622951
prepayment,ltv_band,risk factor (gap expected),90-97%,2870.0,145.0,2725.0,1253.0,1176.0,68.0,77.0,0.43658536585365854,0.061452513966480445,0.5310344827586206,0.4315596330275229,0.4689655172413793
prepayment,vintage_year,risk factor (gap expected),2019,5459.0,799.0,4660.0,4219.0,3608.0,188.0,611.0,0.7728521707272394,0.14482104764162124,0.7647058823529411,0.7742489270386266,0.23529411764705882
prepayment,vintage_year,risk factor (gap expected),2021,14160.0,1219.0,12941.0,10712.0,9773.0,280.0,939.0,0.7564971751412429,0.08765870052277819,0.7703035274815423,0.7551966617726605,0.22969647251845776
prepayment,vintage_year,risk factor (gap expected),2020,11469.0,918.0,10551.0,8641.0,7949.0,226.0,692.0,0.7534222687243874,0.08008332368938781,0.7538126361655774,0.7533883044261207,0.24618736383442266
prepayment,vintage_year,risk factor (gap expected),2023,9972.0,760.0,9212.0,6647.0,6077.0,190.0,570.0,0.6665663858804654,0.08575297126523243,0.75,0.6596830221450283,0.25
prepayment,vintage_year,risk factor (gap expected),2022,17090.0,1426.0,15664.0,11369.0,10322.0,379.0,1047.0,0.6652428320655354,0.09209253232474272,0.7342215988779803,0.6589632277834525,0.2657784011220196
prepayment,vintage_year,risk factor (gap expected),2018,232.0,106.0,126.0,107.0,42.0,41.0,65.0,0.46120689655172414,0.6074766355140186,0.6132075471698113,0.3333333333333333,0.3867924528301887
prepayment,state,screen for disparity,CO,996.0,105.0,891.0,907.0,813.0,11.0,94.0,0.9106425702811245,0.10363836824696802,0.8952380952380953,0.9124579124579124,0.10476190476190476
prepayment,state,screen for disparity,AZ,1468.0,123.0,1345.0,1335.0,1218.0,6.0,117.0,0.909400544959128,0.08764044943820225,0.9512195121951219,0.9055762081784386,0.04878048780487805
prepayment,state,screen for disparity,MN,1145.0,135.0,1010.0,1006.0,911.0,40.0,95.0,0.8786026200873363,0.09443339960238568,0.7037037037037037,0.901980198019802,0.2962962962962963
prepayment,state,screen for disparity,VA,1702.0,143.0,1559.0,1499.0,1361.0,5.0,138.0,0.8807285546415982,0.09206137424949967,0.965034965034965,0.8729955099422707,0.03496503496503497
prepayment,state,screen for disparity,IL,2314.0,225.0,2089.0,2002.0,1796.0,19.0,206.0,0.8651685393258427,0.1028971028971029,0.9155555555555556,0.8597415031115366,0.08444444444444445
prepayment,state,screen for disparity,KY,840.0,87.0,753.0,703.0,636.0,20.0,67.0,0.8369047619047619,0.0953058321479374,0.7701149425287356,0.8446215139442231,0.22988505747126436
prepayment,state,screen for disparity,IN,1141.0,127.0,1014.0,920.0,829.0,36.0,91.0,0.8063102541630149,0.09891304347826087,0.7165354330708661,0.8175542406311637,0.28346456692913385
prepayment,state,screen for disparity,CA,7328.0,607.0,6721.0,5919.0,5408.0,96.0,511.0,0.8077237991266376,0.08633215070113195,0.841845140032949,0.804642166344294,0.15815485996705106
prepayment,state,screen for disparity,TX,5899.0,541.0,5358.0,4739.0,4301.0,103.0,438.0,0.8033565011018817,0.09242456214391222,0.8096118299445472,0.8027248973497574,0.19038817005545286
prepayment,state,screen for disparity,MO,1342.0,113.0,1229.0,1057.0,974.0,30.0,83.0,0.7876304023845008,0.07852412488174078,0.7345132743362832,0.7925142392188771,0.26548672566371684
prepayment,state,screen for disparity,SC,791.0,48.0,743.0,621.0,586.0,13.0,35.0,0.7850821744627055,0.05636070853462158,0.7291666666666666,0.7886944818304172,0.2708333333333333
prepayment,state,screen for disparity,MD,1180.0,85.0,1095.0,919.0,838.0,4.0,81.0,0.7788135593220339,0.088139281828074,0.9529411764705882,0.765296803652968,0.047058823529411764
prepayment,state,screen for disparity,NJ,1618.0,173.0,1445.0,1208.0,1076.0,41.0,132.0,0.7466007416563659,0.10927152317880795,0.7630057803468208,0.744636678200692,0.23699421965317918
prepayment,state,screen for disparity,NY,3492.0,289.0,3203.0,2585.0,2373.0,77.0,212.0,0.7402634593356243,0.08201160541586074,0.7335640138408305,0.7408679363097096,0.2664359861591695
prepayment,state,screen for disparity,AL,878.0,81.0,797.0,596.0,553.0,38.0,43.0,0.6788154897494305,0.07214765100671142,0.5308641975308642,0.6938519447929736,0.4691358024691358
prepayment,state,screen for disparity,NC,2093.0,134.0,1959.0,1437.0,1351.0,48.0,86.0,0.6865742952699474,0.059846903270702856,0.6417910447761194,0.6896375701888718,0.3582089552238806
prepayment,state,screen for disparity,WI,1184.0,125.0,1059.0,821.0,730.0,34.0,91.0,0.6934121621621622,0.11084043848964677,0.728,0.6893295561850803,0.272
prepayment,state,screen for disparity,TN,1326.0,122.0,1204.0,918.0,814.0,18.0,104.0,0.6923076923076923,0.11328976034858387,0.8524590163934426,0.6760797342192691,0.14754098360655737
prepayment,state,screen for disparity,MI,1938.0,124.0,1814.0,1291.0,1182.0,15.0,109.0,0.6661506707946336,0.0844306738962045,0.8790322580645161,0.6515986769570011,0.12096774193548387
prepayment,state,screen for disparity,LA,749.0,42.0,707.0,493.0,459.0,8.0,34.0,0.6582109479305741,0.06896551724137931,0.8095238095238095,0.6492220650636492,0.19047619047619047
prepayment,state,screen for disparity,PA,2433.0,306.0,2127.0,1613.0,1352.0,45.0,261.0,0.6629675297986025,0.16181029138251704,0.8529411764705882,0.6356370474847203,0.14705882352941177
prepayment,state,screen for disparity,MA,1482.0,143.0,1339.0,920.0,825.0,48.0,95.0,0.6207827260458839,0.10326086956521739,0.6643356643356644,0.6161314413741599,0.3356643356643357
prepayment,state,screen for disparity,GA,2169.0,188.0,1981.0,1312.0,1210.0,86.0,102.0,0.6048870447210696,0.07774390243902439,0.5425531914893617,0.6108026249369005,0.4574468085106383
prepayment,state,screen for disparity,CT,545.0,47.0,498.0,345.0,298.0,0.0,47.0,0.6330275229357798,0.13623188405797101,1.0,0.5983935742971888,0.0
prepayment,state,screen for disparity,FL,6019.0,574.0,5445.0,3558.0,3196.0,212.0,362.0,0.5911280943678352,0.1017425519955031,0.6306620209059234,0.5869605142332415,0.3693379790940767
prepayment,state,screen for disparity,UT,533.0,37.0,496.0,322.0,288.0,3.0,34.0,0.6041275797373359,0.10559006211180125,0.918918918918919,0.5806451612903226,0.08108108108108109
