model,segment,group,records,actual_positives,actual_negatives,flagged,false_positives,false_negatives,true_positives,selection_rate,precision,recall,false_positive_rate,false_negative_rate
delinquency,state,TX,6519.0,759.0,5760.0,400.0,137.0,496.0,263.0,0.061359104157079306,0.6575,0.3465085638998682,0.02378472222222222,0.6534914361001317
delinquency,state,AZ,1652.0,179.0,1473.0,92.0,33.0,120.0,59.0,0.05569007263922518,0.6413043478260869,0.329608938547486,0.02240325865580448,0.6703910614525139
delinquency,state,LA,849.0,108.0,741.0,55.0,16.0,69.0,39.0,0.06478209658421673,0.7090909090909091,0.3611111111111111,0.021592442645074223,0.6388888888888888
delinquency,state,UT,569.0,47.0,522.0,25.0,11.0,33.0,14.0,0.043936731107205626,0.56,0.2978723404255319,0.0210727969348659,0.7021276595744681
delinquency,state,MO,1433.0,181.0,1252.0,82.0,26.0,125.0,56.0,0.05722260990928123,0.6829268292682927,0.30939226519337015,0.020766773162939296,0.6906077348066298
delinquency,state,IN,1280.0,157.0,1123.0,83.0,23.0,97.0,60.0,0.06484375,0.7228915662650602,0.3821656050955414,0.020480854853072127,0.6178343949044586
delinquency,state,OH,2744.0,256.0,2488.0,138.0,48.0,166.0,90.0,0.05029154518950437,0.6521739130434783,0.3515625,0.01929260450160772,0.6484375
delinquency,state,IL,2629.0,274.0,2355.0,146.0,45.0,173.0,101.0,0.05553442373526055,0.6917808219178082,0.3686131386861314,0.01910828025477707,0.6313868613138686
delinquency,state,NY,3862.0,362.0,3500.0,173.0,65.0,254.0,108.0,0.044795442775763854,0.6242774566473989,0.2983425414364641,0.018571428571428572,0.7016574585635359
delinquency,state,FL,6649.0,755.0,5894.0,384.0,109.0,480.0,275.0,0.05775304557076252,0.7161458333333334,0.36423841059602646,0.01849338310145911,0.6357615894039735
delinquency,state,NJ,1849.0,217.0,1632.0,118.0,30.0,129.0,88.0,0.0638182801514332,0.7457627118644068,0.4055299539170507,0.01838235294117647,0.5944700460829493
delinquency,state,CT,622.0,66.0,556.0,29.0,10.0,47.0,19.0,0.04662379421221865,0.6551724137931034,0.2878787878787879,0.017985611510791366,0.7121212121212122
delinquency,state,VA,1903.0,212.0,1691.0,107.0,30.0,135.0,77.0,0.05622700998423542,0.719626168224299,0.3632075471698113,0.017740981667652277,0.6367924528301887
delinquency,state,KY,910.0,115.0,795.0,62.0,14.0,67.0,48.0,0.06813186813186813,0.7741935483870968,0.41739130434782606,0.01761006289308176,0.5826086956521739
delinquency,state,OR,1057.0,90.0,967.0,41.0,17.0,66.0,24.0,0.03878902554399243,0.5853658536585366,0.26666666666666666,0.017580144777662874,0.7333333333333333
delinquency,state,PA,2687.0,351.0,2336.0,196.0,41.0,196.0,155.0,0.07294380349832527,0.7908163265306123,0.4415954415954416,0.0175513698630137,0.5584045584045584
delinquency,state,TN,1485.0,148.0,1337.0,75.0,23.0,96.0,52.0,0.050505050505050504,0.6933333333333334,0.35135135135135137,0.01720269259536275,0.6486486486486487
delinquency,state,SC,905.0,78.0,827.0,38.0,14.0,54.0,24.0,0.041988950276243095,0.631578947368421,0.3076923076923077,0.016928657799274487,0.6923076923076923
delinquency,state,NC,2294.0,259.0,2035.0,131.0,31.0,159.0,100.0,0.05710549258936356,0.7633587786259542,0.3861003861003861,0.015233415233415233,0.6138996138996139
delinquency,state,MD,1275.0,125.0,1150.0,66.0,17.0,76.0,49.0,0.05176470588235294,0.7424242424242424,0.392,0.014782608695652174,0.608
delinquency,state,WI,1335.0,122.0,1213.0,60.0,17.0,79.0,43.0,0.0449438202247191,0.7166666666666667,0.3524590163934426,0.014014839241549877,0.6475409836065574
delinquency,state,OK,847.0,91.0,756.0,47.0,10.0,54.0,37.0,0.05548996458087367,0.7872340425531915,0.4065934065934066,0.013227513227513227,0.5934065934065934
delinquency,state,CO,1048.0,96.0,952.0,45.0,9.0,60.0,36.0,0.042938931297709926,0.8,0.375,0.009453781512605041,0.625
delinquency,servicer_name,Beacon Home Loans,12641.0,1407.0,11234.0,750.0,272.0,929.0,478.0,0.0593307491495926,0.6373333333333333,0.33972992181947403,0.024212212925048958,0.660270078180526
delinquency,servicer_name,Meridian Residential Capital,12597.0,1501.0,11096.0,802.0,237.0,936.0,565.0,0.06366595221084385,0.7044887780548629,0.3764157228514324,0.021359048305695745,0.6235842771485676
delinquency,servicer_name,Atlas Mortgage Services,13276.0,1555.0,11721.0,816.0,248.0,987.0,568.0,0.06146429647484182,0.696078431372549,0.3652733118971061,0.021158604214657453,0.6347266881028939
delinquency,servicer_name,Cornerstone Loan Servicing,13417.0,1451.0,11966.0,732.0,238.0,957.0,494.0,0.054557650741596485,0.674863387978142,0.3404548587181254,0.01988968744776868,0.6595451412818746
delinquency,servicer_name,Northgate Financial Servicing,12622.0,1273.0,11349.0,668.0,192.0,797.0,476.0,0.05292346696244652,0.7125748502994012,0.3739198743126473,0.0169177901136664,0.6260801256873527
default,credit_score_band,<620,2158.0,775.0,1383.0,1080.0,599.0,294.0,481.0,0.5004633920296571,0.44537037037037036,0.6206451612903225,0.433116413593637,0.3793548387096774
default,credit_score_band,620-659,6847.0,1980.0,4867.0,2480.0,1399.0,899.0,1081.0,0.3622024244194538,0.43588709677419357,0.545959595959596,0.28744606533799055,0.454040404040404
default,credit_score_band,660-699,16786.0,1790.0,14996.0,1155.0,506.0,1141.0,649.0,0.06880733944954129,0.5619047619047619,0.3625698324022346,0.03374233128834356,0.6374301675977654
default,credit_score_band,700-739,18569.0,412.0,18157.0,220.0,113.0,305.0,107.0,0.011847703161182617,0.4863636363636364,0.25970873786407767,0.006223495070771603,0.7402912621359223
default,credit_score_band,740-799,12426.0,106.0,12320.0,83.0,41.0,64.0,42.0,0.006679542893932078,0.5060240963855421,0.39622641509433965,0.0033279220779220777,0.6037735849056604
default,credit_score_band,800+,1596.0,0.0,1596.0,3.0,3.0,0.0,0.0,0.0018796992481203006,0.0,,0.0018796992481203006,
default,ltv_band,90-97%,2870.0,773.0,2097.0,803.0,407.0,377.0,396.0,0.27979094076655053,0.4931506849315068,0.5122897800776197,0.19408679065331425,0.48771021992238034
default,ltv_band,80-90%,12993.0,2021.0,10972.0,2195.0,1152.0,978.0,1043.0,0.16893711998768568,0.47517084282460137,0.5160811479465611,0.10499453153481589,0.4839188520534389
default,ltv_band,75-80%,11315.0,951.0,10364.0,799.0,418.0,570.0,381.0,0.07061422889969067,0.47684605757196497,0.40063091482649843,0.040331918178309535,0.5993690851735016
default,ltv_band,60-75%,26915.0,1281.0,25634.0,1166.0,643.0,758.0,523.0,0.043321567898941114,0.4485420240137221,0.40827478532396566,0.02508387298119685,0.5917252146760343
default,ltv_band,<60%,4289.0,37.0,4252.0,58.0,41.0,20.0,17.0,0.013522965726276521,0.29310344827586204,0.4594594594594595,0.009642521166509878,0.5405405405405406
default,vintage_year,2021,14160.0,1154.0,13006.0,1598.0,977.0,533.0,621.0,0.11285310734463277,0.3886107634543179,0.5381282495667244,0.07511917576503152,0.46187175043327555
default,vintage_year,2022,17090.0,1537.0,15553.0,1488.0,815.0,864.0,673.0,0.08706846108835577,0.4522849462365591,0.4378659726740403,0.0524014659551212,0.5621340273259596
default,vintage_year,2020,11469.0,793.0,10676.0,929.0,492.0,356.0,437.0,0.08100095910715843,0.4703982777179763,0.5510718789407314,0.046084675908579995,0.4489281210592686
default,vintage_year,2019,5459.0,482.0,4977.0,414.0,162.0,230.0,252.0,0.07583806557977651,0.6086956521739131,0.5228215767634855,0.0325497287522604,0.47717842323651455
default,vintage_year,2023,9972.0,1001.0,8971.0,515.0,214.0,700.0,301.0,0.051644604893702366,0.5844660194174758,0.3006993006993007,0.0238546427377104,0.6993006993006993
default,vintage_year,2018,232.0,96.0,136.0,77.0,1.0,20.0,76.0,0.33189655172413796,0.987012987012987,0.7916666666666666,0.007352941176470588,0.20833333333333334
default,state,WI,1184.0,99.0,1085.0,177.0,108.0,30.0,69.0,0.14949324324324326,0.3898305084745763,0.696969696969697,0.09953917050691244,0.30303030303030304
default,state,OH,2430.0,182.0,2248.0,277.0,192.0,97.0,85.0,0.11399176954732511,0.30685920577617326,0.46703296703296704,0.08540925266903915,0.532967032967033
default,state,KY,840.0,70.0,770.0,88.0,57.0,39.0,31.0,0.10476190476190476,0.3522727272727273,0.44285714285714284,0.07402597402597402,0.5571428571428572
default,state,CA,7328.0,555.0,6773.0,814.0,499.0,240.0,315.0,0.11108078602620088,0.386977886977887,0.5675675675675675,0.07367488557507751,0.43243243243243246
default,state,AL,878.0,39.0,839.0,84.0,60.0,15.0,24.0,0.09567198177676538,0.2857142857142857,0.6153846153846154,0.07151370679380215,0.38461538461538464
default,state,CT,545.0,44.0,501.0,46.0,35.0,33.0,11.0,0.08440366972477065,0.2391304347826087,0.25,0.06986027944111776,0.75
default,state,MI,1938.0,211.0,1727.0,226.0,119.0,104.0,107.0,0.11661506707946337,0.47345132743362833,0.5071090047393365,0.06890561667631731,0.4928909952606635
default,state,MA,1482.0,120.0,1362.0,178.0,88.0,30.0,90.0,0.12010796221322537,0.5056179775280899,0.75,0.06461086637298091,0.25
default,state,WA,1619.0,134.0,1485.0,143.0,92.0,83.0,51.0,0.08832612723903645,0.35664335664335667,0.3805970149253731,0.061952861952861954,0.6194029850746269
default,state,TN,1326.0,110.0,1216.0,124.0,75.0,61.0,49.0,0.09351432880844646,0.3951612903225806,0.44545454545454544,0.061677631578947366,0.5545454545454546
default,state,TX,5899.0,558.0,5341.0,548.0,317.0,327.0,231.0,0.09289710120359383,0.4215328467153285,0.41397849462365593,0.05935218123946826,0.5860215053763441
default,state,OR,963.0,62.0,901.0,63.0,45.0,44.0,18.0,0.06542056074766354,0.2857142857142857,0.2903225806451613,0.049944506104328525,0.7096774193548387
default,state,IL,2314.0,188.0,2126.0,217.0,106.0,77.0,111.0,0.09377700950734659,0.511520737327189,0.5904255319148937,0.04985888993414864,0.4095744680851064
default,state,LA,749.0,75.0,674.0,54.0,27.0,48.0,27.0,0.07209612817089453,0.5,0.36,0.040059347181008904,0.64
default,state,FL,6019.0,524.0,5495.0,472.0,216.0,268.0,256.0,0.078418341917262,0.5423728813559322,0.48854961832061067,0.039308462238398546,0.5114503816793893
default,state,MO,1342.0,108.0,1234.0,88.0,48.0,68.0,40.0,0.06557377049180328,0.45454545454545453,0.37037037037037035,0.03889789303079417,0.6296296296296297
default,state,PA,2433.0,303.0,2130.0,242.0,80.0,141.0,162.0,0.09946568023016851,0.6694214876033058,0.5346534653465347,0.03755868544600939,0.46534653465346537
default,state,GA,2169.0,205.0,1964.0,142.0,73.0,136.0,69.0,0.06546795758414016,0.4859154929577465,0.33658536585365856,0.037169042769857434,0.6634146341463415
default,state,VA,1702.0,119.0,1583.0,124.0,58.0,53.0,66.0,0.07285546415981199,0.532258064516129,0.5546218487394958,0.03663929248262792,0.44537815126050423
default,state,NY,3492.0,269.0,3223.0,220.0,115.0,164.0,105.0,0.06300114547537228,0.4772727272727273,0.3903345724907063,0.03568104250698107,0.6096654275092936
default,state,MN,1145.0,103.0,1042.0,74.0,37.0,66.0,37.0,0.06462882096069869,0.5,0.3592233009708738,0.03550863723608445,0.6407766990291263
default,state,CO,996.0,92.0,904.0,54.0,30.0,68.0,24.0,0.05421686746987952,0.4444444444444444,0.2608695652173913,0.033185840707964605,0.7391304347826086
default,state,IN,1141.0,111.0,1030.0,94.0,28.0,45.0,66.0,0.08238387379491674,0.7021276595744681,0.5945945945945946,0.027184466019417475,0.40540540540540543
default,state,NC,2093.0,230.0,1863.0,158.0,49.0,121.0,109.0,0.0754897276636407,0.689873417721519,0.47391304347826085,0.026301663982823402,0.5260869565217391
default,state,UT,533.0,18.0,515.0,21.0,13.0,10.0,8.0,0.039399624765478425,0.38095238095238093,0.4444444444444444,0.02524271844660194,0.5555555555555556
default,state,MD,1180.0,92.0,1088.0,58.0,25.0,59.0,33.0,0.04915254237288136,0.5689655172413793,0.358695652173913,0.02297794117647059,0.6413043478260869
default,state,AZ,1468.0,150.0,1318.0,76.0,30.0,104.0,46.0,0.051771117166212535,0.6052631578947368,0.30666666666666664,0.02276176024279211,0.6933333333333334
default,state,NJ,1618.0,166.0,1452.0,91.0,23.0,98.0,68.0,0.05624227441285538,0.7472527472527473,0.40963855421686746,0.01584022038567493,0.5903614457831325
default,state,SC,791.0,63.0,728.0,30.0,9.0,42.0,21.0,0.03792667509481669,0.7,0.3333333333333333,0.012362637362637362,0.6666666666666666
default,state,OK,765.0,63.0,702.0,38.0,7.0,32.0,31.0,0.04967320261437908,0.8157894736842105,0.49206349206349204,0.009971509971509971,0.5079365079365079
default,servicer_name,Atlas Mortgage Services,11970.0,1101.0,10869.0,1196.0,640.0,545.0,556.0,0.09991645781119465,0.46488294314381273,0.5049954586739328,0.0588830619192198,0.4950045413260672
default,servicer_name,Meridian Residential Capital,11395.0,1048.0,10347.0,1044.0,540.0,544.0,504.0,0.09161913119789382,0.4827586206896552,0.48091603053435117,0.05218904030153668,0.5190839694656488
default,servicer_name,Beacon Home Loans,11561.0,934.0,10627.0,984.0,549.0,499.0,435.0,0.08511374448577112,0.4420731707317073,0.4657387580299786,0.051660863837395314,0.5342612419700214
default,servicer_name,Cornerstone Loan Servicing,12162.0,1039.0,11123.0,906.0,487.0,620.0,419.0,0.07449432659102122,0.4624724061810154,0.4032723772858518,0.043783152027330755,0.5967276227141483
default,servicer_name,Northgate Financial Servicing,11294.0,941.0,10353.0,891.0,445.0,495.0,446.0,0.07889144678590403,0.500561167227834,0.47396386822529224,0.042982710325509516,0.5260361317747078
prepayment,credit_score_band,740-799,12426.0,1284.0,11142.0,9084.0,8105.0,305.0,979.0,0.7310478029937229,0.10777190664905328,0.7624610591900312,0.7274277508526297,0.23753894080996885
prepayment,credit_score_band,700-739,18569.0,1855.0,16714.0,10075.0,9063.0,843.0,1012.0,0.5425709515859767,0.10044665012406948,0.5455525606469003,0.5422400382912529,0.4544474393530997
prepayment,credit_score_band,660-699,16786.0,1371.0,15415.0,8866.0,8127.0,632.0,739.0,0.528178243774574,0.08335213173922851,0.5390226112326769,0.5272137528381446,0.46097738876732314
prepayment,credit_score_band,800+,1596.0,186.0,1410.0,822.0,743.0,107.0,79.0,0.5150375939849624,0.09610705596107055,0.42473118279569894,0.5269503546099291,0.5752688172043011
prepayment,credit_score_band,620-659,6847.0,473.0,6374.0,2201.0,2032.0,304.0,169.0,0.3214546516722652,0.07678328032712403,0.3572938689217759,0.31879510511452774,0.642706131078224
prepayment,credit_score_band,<620,2158.0,59.0,2099.0,322.0,308.0,45.0,14.0,0.14921223354958293,0.043478260869565216,0.23728813559322035,0.14673654121010005,0.7627118644067796
prepayment,ltv_band,<60%,4289.0,416.0,3873.0,2566.0,2279.0,129.0,287.0,0.5982746560969923,0.11184723304754482,0.6899038461538461,0.5884327394784404,0.31009615384615385
prepayment,ltv_band,60-75%,26915.0,2601.0,24314.0,15700.0,14142.0,1043.0,1558.0,0.5833178524986067,0.09923566878980891,0.5990003844675125,0.5816402072879823,0.40099961553248753
prepayment,ltv_band,75-80%,11315.0,1090.0,10225.0,5973.0,5324.0,441.0,649.0,0.5278833406981882,0.10865561694290976,0.5954128440366973,0.5206845965770172,0.40458715596330275
prepayment,ltv_band,80-90%,12993.0,976.0,12017.0,6233.0,5780.0,523.0,453.0,0.4797198491495421,0.07267768329857212,0.4641393442622951,0.4809852708662728,0.5358606557377049
prepayment,ltv_band,90-97%,2870.0,145.0,2725.0,898.0,853.0,100.0,45.0,0.3128919860627178,0.05011135857461024,0.3103448275862069,0.3130275229357798,0.6896551724137931
prepayment,vintage_year,2019,5459.0,799.0,4660.0,3201.0,2739.0,337.0,462.0,0.5863711302436344,0.14432989690721648,0.5782227784730913,0.5877682403433476,0.42177722152690866
prepayment,vintage_year,2020,11469.0,918.0,10551.0,6544.0,5996.0,370.0,548.0,0.5705815677042463,0.08374083129584352,0.5969498910675382,0.5682873661264335,0.40305010893246185
prepayment,vintage_year,2021,14160.0,1219.0,12941.0,7985.0,7281.0,515.0,704.0,0.563912429378531,0.08816530995616781,0.5775225594749795,0.5626303995054478,0.4224774405250205
prepayment,vintage_year,2022,17090.0,1426.0,15664.0,8722.0,7927.0,631.0,795.0,0.5103569338794617,0.09114881907819307,0.5575035063113605,0.506064862104188,0.4424964936886395
prepayment,vintage_year,2023,9972.0,760.0,9212.0,4845.0,4404.0,319.0,441.0,0.4858604091456077,0.09102167182662539,0.5802631578947368,0.4780720798957881,0.41973684210526313
prepayment,vintage_year,2018,232.0,106.0,126.0,73.0,31.0,64.0,42.0,0.3146551724137931,0.5753424657534246,0.39622641509433965,0.24603174603174602,0.6037735849056604
prepayment,state,CO,996.0,105.0,891.0,854.0,778.0,29.0,76.0,0.857429718875502,0.08899297423887588,0.7238095238095238,0.8731762065095399,0.2761904761904762
prepayment,state,MN,1145.0,135.0,1010.0,932.0,843.0,46.0,89.0,0.8139737991266376,0.09549356223175966,0.6592592592592592,0.8346534653465346,0.34074074074074073
prepayment,state,AZ,1468.0,123.0,1345.0,1206.0,1111.0,28.0,95.0,0.8215258855585831,0.07877280265339967,0.7723577235772358,0.8260223048327138,0.22764227642276422
prepayment,state,IL,2314.0,225.0,2089.0,1835.0,1644.0,34.0,191.0,0.7929991356957649,0.10408719346049046,0.8488888888888889,0.7869794159885113,0.1511111111111111
prepayment,state,IN,1141.0,127.0,1014.0,849.0,763.0,41.0,86.0,0.7440841367221736,0.10129564193168433,0.6771653543307087,0.752465483234714,0.3228346456692913
prepayment,state,MO,1342.0,113.0,1229.0,986.0,903.0,30.0,83.0,0.7347242921013413,0.08417849898580122,0.7345132743362832,0.7347436940602116,0.26548672566371684
prepayment,state,VA,1702.0,143.0,1559.0,1212.0,1086.0,17.0,126.0,0.7121034077555817,0.10396039603960396,0.8811188811188811,0.6966003848620911,0.11888111888111888
prepayment,state,SC,791.0,48.0,743.0,513.0,486.0,21.0,27.0,0.6485461441213654,0.05263157894736842,0.5625,0.6541049798115747,0.4375
prepayment,state,KY,840.0,87.0,753.0,548.0,491.0,30.0,57.0,0.6523809523809524,0.10401459854014598,0.6551724137931034,0.6520584329349269,0.3448275862068966
prepayment,state,CA,7328.0,607.0,6721.0,4825.0,4381.0,163.0,444.0,0.6584334061135371,0.09202072538860104,0.7314662273476112,0.6518375241779497,0.2685337726523888
prepayment,state,MD,1180.0,85.0,1095.0,767.0,697.0,15.0,70.0,0.65,0.09126466753585398,0.8235294117647058,0.6365296803652968,0.17647058823529413
prepayment,state,TX,5899.0,541.0,5358.0,3574.0,3256.0,223.0,318.0,0.6058654009154094,0.0889759373251259,0.5878003696857671,0.6076894363568496,0.4121996303142329
prepayment,state,WI,1184.0,125.0,1059.0,718.0,638.0,45.0,80.0,0.606418918918919,0.11142061281337047,0.64,0.6024551463644948,0.36
prepayment,state,NC,2093.0,134.0,1959.0,1176.0,1109.0,67.0,67.0,0.5618729096989966,0.05697278911564626,0.5,0.5661051556916794,0.5
prepayment,state,NY,3492.0,289.0,3203.0,1840.0,1709.0,158.0,131.0,0.5269186712485682,0.07119565217391305,0.4532871972318339,0.5335622853574774,0.5467128027681661
prepayment,state,NJ,1618.0,173.0,1445.0,861.0,756.0,68.0,105.0,0.5321384425216317,0.12195121951219512,0.6069364161849711,0.5231833910034602,0.3930635838150289
prepayment,state,AL,878.0,81.0,797.0,453.0,413.0,41.0,40.0,0.5159453302961275,0.08830022075055188,0.49382716049382713,0.5181932245922208,0.5061728395061729
prepayment,state,LA,749.0,42.0,707.0,390.0,362.0,14.0,28.0,0.520694259012016,0.07179487179487179,0.6666666666666666,0.512022630834512,0.3333333333333333
prepayment,state,MI,1938.0,124.0,1814.0,994.0,908.0,38.0,86.0,0.5128998968008256,0.08651911468812877,0.6935483870967742,0.5005512679162073,0.3064516129032258
prepayment,state,PA,2433.0,306.0,2127.0,1048.0,857.0,115.0,191.0,0.43074393752568846,0.18225190839694658,0.6241830065359477,0.4029149036201222,0.3758169934640523
prepayment,state,MA,1482.0,143.0,1339.0,588.0,530.0,85.0,58.0,0.3967611336032389,0.09863945578231292,0.40559440559440557,0.39581777445855115,0.5944055944055944
prepayment,state,UT,533.0,37.0,496.0,221.0,196.0,12.0,25.0,0.4146341463414634,0.11312217194570136,0.6756756756756757,0.3951612903225806,0.32432432432432434
prepayment,state,GA,2169.0,188.0,1981.0,819.0,766.0,135.0,53.0,0.3775933609958506,0.06471306471306472,0.28191489361702127,0.386673397274104,0.7180851063829787
prepayment,state,CT,545.0,47.0,498.0,223.0,186.0,10.0,37.0,0.4091743119266055,0.16591928251121077,0.7872340425531915,0.37349397590361444,0.2127659574468085
prepayment,state,TN,1326.0,122.0,1204.0,482.0,427.0,67.0,55.0,0.363499245852187,0.11410788381742738,0.45081967213114754,0.3546511627906977,0.5491803278688525
prepayment,state,FL,6019.0,574.0,5445.0,2154.0,1897.0,317.0,257.0,0.35786675527496264,0.11931290622098421,0.44773519163763065,0.34839302112029386,0.5522648083623694
prepayment,state,OK,765.0,68.0,697.0,250.0,227.0,45.0,23.0,0.32679738562091504,0.092,0.3382352941176471,0.32568149210903874,0.6617647058823529
prepayment,state,OH,2430.0,259.0,2171.0,617.0,557.0,199.0,60.0,0.25390946502057615,0.09724473257698542,0.23166023166023167,0.25656379548595115,0.7683397683397684
prepayment,state,WA,1619.0,122.0,1497.0,325.0,300.0,97.0,25.0,0.20074119827053738,0.07692307692307693,0.20491803278688525,0.20040080160320642,0.7950819672131147
prepayment,state,OR,963.0,55.0,908.0,110.0,101.0,46.0,9.0,0.1142263759086189,0.08181818181818182,0.16363636363636364,0.11123348017621146,0.8363636363636363
prepayment,servicer_name,Meridian Residential Capital,11395.0,1090.0,10305.0,6498.0,5820.0,412.0,678.0,0.5702501096972357,0.10433979686057249,0.6220183486238532,0.5647743813682679,0.3779816513761468
prepayment,servicer_name,Beacon Home Loans,11561.0,1026.0,10535.0,6316.0,5670.0,380.0,646.0,0.5463195225326529,0.10227992400253325,0.6296296296296297,0.5382059800664452,0.37037037037037035
prepayment,servicer_name,Cornerstone Loan Servicing,12162.0,960.0,11202.0,6407.0,5914.0,467.0,493.0,0.5268048018418023,0.07694708912127361,0.5135416666666667,0.5279414390287449,0.4864583333333333
prepayment,servicer_name,Northgate Financial Servicing,11294.0,1172.0,10122.0,5934.0,5342.0,580.0,592.0,0.5254117230387817,0.09976407145264576,0.5051194539249146,0.5277613119936772,0.4948805460750853
prepayment,servicer_name,Atlas Mortgage Services,11970.0,980.0,10990.0,6215.0,5632.0,397.0,583.0,0.5192147034252298,0.09380530973451327,0.5948979591836735,0.5124658780709737,0.4051020408163265
