model,feature,mean_abs_shap,mean_signed_shap,max_abs_shap,share
delinquency,credit_score,0.262414080827071,-0.03810419078117171,1.0028912555435134,0.14843556960831628
delinquency,months_since_delinquency,0.19924560631139251,0.004604140365402552,2.252007960095944,0.11270407049641397
delinquency,credit_score_band,0.18833419410511568,-0.011980445633138725,0.4113996583564889,0.10653198673869378
delinquency,ltv,0.12328797356210926,0.004897346095158598,0.6902513402767466,0.06973833311028194
delinquency,state,0.10613165804462876,0.0034786101872514314,0.5009494821627011,0.0600337949308105
delinquency,days_past_due,0.10219370194158352,0.0027687266416793047,1.3927372699060327,0.05780627438234851
delinquency,interest_rate,0.054160146058647184,0.010731549570327875,0.28491395514932105,0.03063590225397522
delinquency,rate_spread,0.05059954642717851,0.025852459967746468,0.3218624178402815,0.028621834896086357
delinquency,paydown_6m,0.044534687184744626,-0.015867547944434963,0.3264496324865362,0.02519122311867115
delinquency,paydown_3m,0.03750850895740538,-0.024185039409771847,0.5587051208528186,0.02121683743000097
delinquency,status_changes_to_date,0.0363331887489721,-0.02210186508768434,0.4303437456293608,0.020552012874622307
delinquency,status_ordinal,0.03164215845647098,-0.0028671708082591654,0.3784470801739308,0.017898512912567537
delinquency,dti,0.02941868029525283,0.004345084871232739,0.279264684449642,0.01664079363800786
delinquency,balance_vs_expected,0.027366441074170588,-0.011151652245101224,0.3265535187048796,0.0154799363517153
delinquency,loan_age_months,0.0268335560766863,-0.011461716194862281,0.22371842635024997,0.01517850783123346
default,credit_score,0.9724176166198134,-0.11670479610488094,2.956294772145704,0.2840844348692183
default,credit_score_band,0.35827502511896137,-0.034081977928743706,0.7577622972601249,0.10466733253195293
default,ltv,0.28636343844152984,-0.010848430967587756,1.2091764649735777,0.08365890764057823
default,state,0.2540194289893493,0.02076995405801261,1.4310462522414118,0.07420985047667479
default,days_past_due,0.2509349201338727,0.002031233836050657,3.697293239058328,0.07330873459798153
default,ltv_band,0.19980883723524537,0.020814587922114845,0.7953009915649276,0.05837263706221274
default,interest_rate,0.13012169612943125,-0.036900315693195775,0.7365081309044885,0.038014067081228196
default,loan_age_months,0.0949036762942034,0.06643219333235738,0.32941251029532137,0.0277253895715783
default,dti,0.09029379351361023,0.019193118008860234,0.6577989577514087,0.026378647264409506
default,rate_spread,0.06593775763066628,0.02463943692035285,0.35230238054225477,0.019263216022519812
default,status_ordinal,0.06463597435295067,0.0005768136406497997,0.8783856996043188,0.01888290990665825
default,current_balance,0.04981322307158209,0.003352432578024591,0.44604378134855277,0.014552555489991077
default,original_balance,0.043876614619836295,0.01067022135670256,0.723513854802174,0.01281822033580454
default,paydown_6m,0.03926268963785709,-0.018715983716640797,0.2902098797755965,0.011470297130144443
default,paydown_3m,0.0392305118871973,-0.027566900667482748,0.22896098827770323,0.011460896644226339
prepayment,credit_score,0.21181683791112113,0.0041901667704103045,1.1045289818929789,0.19762276666388517
prepayment,state,0.1776147762864106,-0.0033468933521854597,0.8908666695188819,0.16571262150951305
prepayment,interest_rate,0.10421653573667275,-0.04999741969636404,0.49848103363914437,0.0972328750042472
prepayment,ltv,0.0754389043494953,0.010175672550819704,0.6664827308596498,0.07038366325671938
prepayment,dti,0.05669591611209625,0.00017325610814202102,0.612405796941554,0.052896662565217786
prepayment,original_balance,0.053641057765040856,0.006416843330275647,0.4259826657224716,0.05004651352010426
prepayment,rate_spread,0.038260217719582525,-0.0056938946341836836,0.3085660871559783,0.035696359899769416
prepayment,dpd_max_12m,0.037669581471592495,-0.0014395201341279782,0.48997341297145247,0.03514530281398314
prepayment,current_balance,0.032270225639526244,-0.002282286077326852,0.49170706677040255,0.030107763550067553
prepayment,balance_pctile_in_month,0.02485067480701506,0.0031265256178042563,0.18433637382063636,0.023185404698032173
prepayment,dpd_mean_12m,0.022267641323442923,0.0017349732437013639,0.44508410067146414,0.020775463031245646
prepayment,loan_purpose,0.021895676343479862,0.00121146945890082,0.17593369122394278,0.02042842381959798
prepayment,paydown_6m,0.019779829489284535,-0.007742392844927207,0.225605570554903,0.018454362110025057
prepayment,servicer_name,0.018621889123990626,-0.0003023938502144385,0.12095665522960455,0.01737401655828383
prepayment,property_type,0.017611143663358204,0.0007299341697225365,0.32418279882335616,0.016431002224329153
