feature,importance,importance_pct
state,631,0.12115975422427035
credit_score,549,0.1054147465437788
ltv,484,0.09293394777265745
dti,439,0.08429339477726575
interest_rate,303,0.058179723502304145
rate_spread,267,0.051267281105990783
current_balance,245,0.04704301075268817
original_balance,205,0.03936251920122888
paydown_1m,161,0.030913978494623656
paydown_3m,145,0.027841781874039937
paydown_6m,107,0.02054531490015361
days_past_due,106,0.020353302611367127
loan_age_months,104,0.019969278033794162
balance_pctile_in_month,104,0.019969278033794162
balance_ratio,99,0.019009216589861752
remaining_term_months,93,0.017857142857142856
servicer_name,89,0.01708909370199693
source_system,77,0.01478494623655914
balance_vs_expected,77,0.01478494623655914
loan_purpose,76,0.014592933947772658
balance_gap_abs,75,0.014400921658986175
property_type,71,0.013632872503840246
dpd_max_12m,67,0.012864823348694316
term_progress,57,0.010944700460829493
credit_score_band,50,0.009600614439324117
occupancy_type,50,0.009600614439324117
ltv_band,48,0.009216589861751152
dpd_max_6m,35,0.006720430107526882
dpd_delta_1m,33,0.006336405529953917
dpd_mean_12m,31,0.005952380952380952
delinquent_months_to_date,29,0.005568356374807988
dpd_lag_1m,28,0.005376344086021506
status_changes_to_date,26,0.0049923195084485405
month_sin,24,0.004608294930875576
dti_band,23,0.004416282642089093
modified_ever,22,0.004224270353302612
month_cos,19,0.0036482334869431645
doc_status_ordinal,19,0.0036482334869431645
document_status,18,0.0034562211981566822
vintage_year,16,0.0030721966205837174
dq_score,15,0.002880184331797235
dpd_mean_3m,14,0.002688172043010753
worst_status_to_date,13,0.0024961597542242702
status_ordinal,12,0.002304147465437788
dpd_mean_6m,11,0.002112135176651306
months_since_delinquency,9,0.0017281105990783411
months_since_modification,8,0.0015360983102918587
original_term_months,7,0.0013440860215053765
dpd_max_3m,6,0.001152073732718894
current_status,4,0.0007680491551459293
is_delinquent,2,0.00038402457757296467
dpd_delta_3m,2,0.00038402457757296467
dpd_delta_6m,2,0.00038402457757296467
status_changed_this_month,1,0.00019201228878648233
dpd_lag_6m,0,0.0
servicer_transfers_to_date,0,0.0
dpd_lag_3m,0,0.0
doc_status_changes_to_date,0,0.0
source_changes_to_date,0,0.0
