scenario,horizon_month,feature,baseline_mean,stressed_mean,change,pct_change
Adverse-Credit,1,credit_score,700.6122,700.6122,0.0,0.0
Adverse-Credit,1,ltv,74.91179100000001,74.91179100000001,0.0,0.0
Adverse-Credit,1,rate_spread,-1.6055131999999999,-1.6055131999999999,0.0,0.0
Adverse-Credit,1,dti,35.80553199999999,35.80553199999999,0.0,0.0
Adverse-Credit,1,interest_rate,4.9944868,4.9944868,0.0,0.0
Adverse-Credit,12,credit_score,700.6122,608.3803114753102,-92.2318885246898,-0.13164470804917439
Adverse-Credit,12,ltv,72.90926512410142,80.86202295947282,7.952757835371401,0.1090774652828379
Adverse-Credit,12,rate_spread,-1.4066131999999996,-1.8629132000000006,-0.45630000000000104,0.32439621638699334
Adverse-Credit,12,dti,35.80553199999999,35.80553199999999,0.0,0.0
Adverse-Credit,12,interest_rate,4.9944868,4.9944868,0.0,0.0
Adverse-Credit,24,credit_score,700.6122,504.2646,-196.34760000000006,-0.2802514714987836
Adverse-Credit,24,ltv,70.78569295750694,87.89348259185124,17.1077896343443,0.24168428561706956
Adverse-Credit,24,rate_spread,-1.1895132000000002,-2.1438132,-0.9542999999999997,0.802260958516475
Adverse-Credit,24,dti,35.80553199999999,35.80553199999999,0.0,0.0
Adverse-Credit,24,interest_rate,4.9944868,4.9944868,0.0,0.0
Adverse-Credit,36,credit_score,700.6122,504.2646,-196.34760000000006,-0.2802514714987836
Adverse-Credit,36,ltv,68.72395483097394,95.53637462728824,26.812419796314302,0.390146636093037
Adverse-Credit,36,rate_spread,-0.9725131999999996,-2.4246132000000005,-1.4521000000000008,1.4931416869200351
Adverse-Credit,36,dti,35.80553199999999,35.80553199999999,0.0,0.0
Adverse-Credit,36,interest_rate,4.9944868,4.9944868,0.0,0.0
Adverse-Credit,48,credit_score,700.6122,504.2646,-196.34760000000006,-0.2802514714987836
Adverse-Credit,48,ltv,66.72229634643817,103.84396607650805,37.12166973006988,0.5563607933594681
Adverse-Credit,48,rate_spread,-0.7555132,-2.7055132,-1.95,2.5810270422806645
Adverse-Credit,48,dti,35.80553199999999,35.80553199999999,0.0,0.0
Adverse-Credit,48,interest_rate,4.9944868,4.9944868,0.0,0.0
High-Prepayment,1,credit_score,700.6122,700.6122,0.0,0.0
High-Prepayment,1,ltv,74.91179100000001,74.91179100000001,0.0,0.0
High-Prepayment,1,rate_spread,-1.6055131999999999,-1.6055131999999999,0.0,0.0
High-Prepayment,1,dti,35.80553199999999,35.80553199999999,0.0,0.0
High-Prepayment,1,interest_rate,4.9944868,4.9944868,0.0,0.0
High-Prepayment,12,credit_score,700.6122,707.6095175104799,6.997317510479888,0.009987433148437752
High-Prepayment,12,ltv,72.90926512410142,71.3239807941137,-1.5852843299877293,-0.021743249329003178
High-Prepayment,12,rate_spread,-1.4066131999999996,-1.0438131999999993,0.36280000000000023,-0.25792449551873986
High-Prepayment,12,dti,35.80553199999999,35.80553199999999,0.0,0.0
High-Prepayment,12,interest_rate,4.9944868,4.9944868,0.0,0.0
High-Prepayment,24,credit_score,700.6122,715.0985069319928,14.486306931992772,0.02067664098911326
High-Prepayment,24,ltv,70.78569295750694,67.60564856010902,-3.1800443973979213,-0.044924959614465076
High-Prepayment,24,rate_spread,-1.1895132000000002,-0.43101320000000043,0.7584999999999997,-0.6376558074345031
High-Prepayment,24,dti,35.80553199999999,35.80553199999999,0.0,0.0
High-Prepayment,24,interest_rate,4.9944868,4.9944868,0.0,0.0
High-Prepayment,36,credit_score,700.6122,723.069134034523,22.456934034522988,0.0320533014334079
High-Prepayment,36,ltv,68.72395483097394,64.08117524683193,-4.642779584142005,-0.06755693259447726
High-Prepayment,36,rate_spread,-0.9725131999999996,0.18168679999999982,1.1541999999999994,-1.186821937224091
High-Prepayment,36,dti,35.80553199999999,35.80553199999999,0.0,0.0
High-Prepayment,36,interest_rate,4.9944868,4.9944868,0.0,0.0
High-Prepayment,48,credit_score,700.6122,732.0076809919174,31.39548099191734,0.04481149627699499
High-Prepayment,48,ltv,66.72229634643817,60.74043914344325,-5.981857202994924,-0.08965304749008762
High-Prepayment,48,rate_spread,-0.7555132,0.7944867999999997,1.5499999999999998,-2.0515855977102713
High-Prepayment,48,dti,35.80553199999999,35.80553199999999,0.0,0.0
High-Prepayment,48,interest_rate,4.9944868,4.9944868,0.0,0.0
